policy,R1,R2,R3,R4,R5,R6,R7,R8
The Platform serves only the following types of cookies to your computer or mobile device:,0,0,0,0,0,0,0,0
"The platforms and social media: Facebook, Instagram, Twitter, LinkedIn and YouTube insofar as they have access to your browsing history on Our Website and Mobile Applications should you consent to such access.",1,0,0,0,0,0,0,0
"The Platforms use third parties such as network advertisers and ad exchanges to serve you ads on third party platforms after you leave our Platforms, and we use third party analytics and other service providers to evaluate and provide us and/or third parties with information about the use of the Platforms and viewing of ads and of our content.",0,0,0,0,0,0,0,0
The Polar Club solution also offers clubs and their customers a channel for discussing the exercise classes and other similar matters within the club's own community.,0,0,0,0,0,0,0,0
"The Polar Flow service is essentially based on this data, and without this data the service cannot be provided.",1,0,0,0,0,0,0,0
The Polar Flow service's data is saved on Polar's service provider's servers.,0,0,0,0,0,0,0,0
"The Polar GoFit service consists of the Polar GoFit application, Polar GoFit website (www.polargofit.com), and Polar's heart rate and activity devices compatible with GoFit.",0,0,0,0,0,0,0,0
The policies and procedures we described here do not apply to the Third Party Sites.,0,0,0,0,0,0,0,0
The policies and procedures we described here do not apply to the Third Party Sites.,0,0,0,0,0,0,0,0
"The policy also describes ADT's information processing activities on behalf of third parties and your choices regarding use, access, and correction of your personal information.",1,0,0,0,0,0,0,0
The policy also describes ADT's processing activities and your privacy choices.,1,0,0,0,0,0,0,0
The policy does not apply to practices of companies whose websites may be linked to Securifi's site.,0,0,0,0,0,0,0,0
The Policy may be modified from time to time and will be posted on this page.,0,0,0,0,0,0,0,0
"The Policy shall apply to any case in which you reach out to us, whatever the method or medium used.",0,0,0,0,0,0,0,0
"The Policy will take effect from the date it is published and be the supplements to all the prior conditions (if any), including but not limited to the user agreement, the service policy, and the prior versions of privacy protection policy, where any clauses therein contradicting the Policy shall be replaced hereby.",0,0,0,0,0,0,0,0
"The precise location of your smartphone is only collected on your smartphone to determine if you have entered one of the zones you define in the setup of the location based control feature, and is never transmitted to our servers.",1,0,0,0,0,0,0,0
"The present Privacy Policy apply to any Personal Data processed by NETATMO through its Websites, Services and connected Products.",0,0,0,0,0,0,0,0
The present Privacy Policy does not apply to Third-Party Websites.,0,0,0,0,0,0,0,0
The primary purpose of collecting your data is to improve your listening experience.,1,0,0,0,0,0,0,0
"The primary reason for requesting information is to fulfil your order, collect payment from you, or make payment to you.",1,0,0,0,0,0,0,0
"The primary reason for requesting information is to personalise your experience and to allow you to enjoy the full benefits of being able to monitor your physical activity through measuring, recording and displaying your heart rate while using the Myzone Device.",1,0,0,0,0,0,0,0
The Privacy Notice also describes the measures we take to safeguard the personal information and how individuals can contact us about our privacy practices.,0,0,0,0,0,0,0,0
The privacy policies of these companies will be made available to you at the point at which your personal data is provided to them.,0,0,0,0,0,0,0,0
The privacy policies outline our information processing approach.,0,0,0,0,0,0,0,0
The Privacy Policy describes practices regarding the information that Bitfinder may collect from users of the Products and Services. ,0,0,0,0,0,0,0,0
The Privacy Policy describes practices regarding the information that Bitfinder may collect from users of the Products and Services. ,0,0,0,0,0,0,0,0
"The Privacy Policy is designed with you in mind, and it is important that you have a comprehensive understanding of and confidence in our personal information collection and usage practices of any personal information provided to HUAMI.",0,0,0,0,0,0,0,0
"The Privacy Policy should be complied with by all of Our customers/users despite of the electronic device (i.e computer, mobile phone, tablet, or any other electronic device) You are using.",0,0,0,0,0,0,0,0
"The privacy practices of the relevant third parties, including details on the information they may collect about you, is subject to the privacy statements of these parties, which we strongly suggest you review.",0,0,0,0,0,0,0,0
"The Privacy Protection Policy will not apply to the related software or hardware other than the SERVICES though linked thereto, nor to any personnel entrusted or managed by anyone except the COMPANY.",0,0,0,0,0,0,0,0
The Privacy Shield Principles require that we remain potentially liable if any Third-Party processing Personal Data on our behalf fails to comply with these Privacy Shield Principles (except to the extent we are not responsible for the event giving rise to any alleged damage).,0,0,0,0,0,0,0,0
"The processed personal data will be deleted after expiry of the statutory retention obligations, unless the controller has a legitimate interest in further storage.",1,0,0,0,0,0,0,0
"The processing is based on our legitimate commercial interest in processing these data for this purpose, as we consider it within our business purpose to provide our customers with support, which is not overridden by the interests or privacy of the data subjects.",1,0,0,0,0,0,0,0
The processing is based on our legitimate commercial interest in processing these data for this purpose.,1,0,0,0,0,0,0,0
The processing is based on our legitimate commercial interest in processing these data for this purpose.,1,0,0,0,0,0,0,0
The processing is based on our legitimate commercial interest in processing these data for this purpose.,1,0,0,0,0,0,0,0
The processing is in our legitimate interests and it is not overridden by your rights ,1,0,0,0,0,0,0,0
"The Processing is necessary for compliance with a legal obligation (especially in respect of applicable employment law) ; or We have a legitimate interest in carrying out the Processing for the purpose of detecting, and protecting against, fraud (to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms).",1,0,0,0,0,0,0,0
The Processing is necessary for compliance with a legal obligation .,1,0,0,0,0,0,0,0
"The Processing is necessary for compliance with a legal obligation ; or We have a legitimate interest in carrying out the Processing for the purpose of detecting, and protecting against, breaches of our policies and applicable laws (to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms).",1,0,0,0,0,0,0,0
"The Processing is necessary for compliance with a legal obligation ; or We have a legitimate interest in carrying out the Processing for the purpose of ensuring the physical and electronic security of our business and our premises (to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms).",0,0,0,0,0,0,0,0
"The Processing is necessary for compliance with a legal obligation ; or We have a legitimate interest in carrying out the Processing for the purpose of ensuring the safety, and proper use, of our products (to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms).",1,0,0,0,0,0,0,0
"The Processing is necessary for compliance with a legal obligation ; or We have a legitimate interest in carrying out the Processing for the purpose of managing and maintaining our communications and IT systems (to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms).",1,0,0,0,0,0,0,0
"The Processing is necessary for compliance with a legal obligation ; We have a legitimate interest in carrying out the Processing for the purpose of establishing, exercising or defending our legal rights (to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms); or The Processing is necessary for the establishment, exercise or defence of legal claims .",1,0,0,0,0,0,0,0
The processing is necessary for the performance of a contract with you.,1,0,0,0,0,0,0,0
The processing is necessary for the performance of a contract with you.,1,0,0,0,0,0,0,0
The processing is necessary for the performance of a contract with you.,1,0,0,0,0,0,0,0
The processing is necessary for the performance of a contract with you.,1,0,0,0,0,0,0,0
The processing is necessary for the performance of a contract with you.,1,0,0,0,0,0,0,0
"The Processing is necessary in connection with any contract that you have entered into with us, or to take steps prior to entering into a contract with us; or We have a legitimate interest in carrying out the Processing for the purpose of contacting you, subject always to compliance with applicable law (to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms); or We have obtained your prior consent to the Processing (this legal basis is only used in relation to Processing that is entirely voluntary  it is not used for Processing that is necessary or obligatory in any way).",1,0,0,0,0,0,0,0
"The Processing is necessary in connection with any contract that you have entered into with us, or to take steps prior to entering into a contract with us; or We have a legitimate interest in carrying out the Processing for the purpose of providing our Sites(to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms); or We have obtained your prior consent to the Processing (this legal basis is only used in relation to Processing that is entirely voluntary  it is not used for Processing that is necessary or obligatory in any way).",1,0,0,0,0,0,0,0
"The Processing is necessary in connection with any contract that you have entered into with us, or to take steps prior to entering into a contract with us; or We have a legitimate interest in carrying out the Processing for the purpose of providing our Sites, or our services to you (to the extent that such legitimate interest is not overridden by your interests, fundamental rights, or freedoms); or We have obtained your prior consent to the Processing (this legal basis is only used in relation to Processing that is entirely voluntary  it is not used for Processing that is necessary or obligatory in any way).",1,0,0,0,0,0,0,0
The processing is required for us to provide the Service to you and also based on our legitimate commercial interest in processing these data for this purpose.,1,0,0,0,0,0,0,0
The processing of cookies is based on the commercial interest of adjusting our web pages for the benefit of users.,0,0,0,0,0,0,0,0
The processing of data is based on your given consent.,1,0,0,0,0,0,0,0
"The processing of Personal Data may be conducted in accordance with one of the following main legal bases: (i) compliance with a legal or regulatory obligation of TCL; (ii) contract necessity; (iii) exercise of legal rights in judicial, administrative or arbitration proceedings; (iv) protection of life and health; (v) legitimate interest of TCL or third parties; and (vi) credit protection.",1,0,0,0,0,0,0,0
"The processing of personal data of the website's users will be carried out in Italy in compliance with applicable European legislation: European Data Protection Regulation no. 2016/679 (GDPR), which regulates the processing of personal data performed by anyone resident or based in European Union .",0,0,0,0,0,0,0,0
"The processing of such data is covered by the privacy notice of Luzern Technology Solutions Limited, which may be viewed here: https://luzern.co/privacy-policy/.",0,0,0,0,0,0,0,0
The processing of this information is in our legitimate interest as further set out below (under Why).,1,0,0,0,0,0,0,0
The processing of your personal data is permitted according to Art. 6 para.,1,0,0,0,0,0,0,0
"The processing of your Personal Data may, therefore, be also subject to laws other than the ones from your country.",0,0,0,0,0,0,0,0
The processing purpose is based on contractual necessity.,1,0,0,0,0,0,0,0
"The processing purpose is based on either your consent (where required by law) or the legitimate commercial interest of helping you better understand how our Devices and related Services can help keep your home safe, including proposals for third-party mitigation solutions and/or contractors that might be available to you.",1,0,0,0,0,0,0,0
The processing purpose is based on the legitimate commercial interest of helping you with your enquiry.,1,0,0,0,0,0,0,0
The Product and Home name(s) will be processed on the contract basis in order to personalize your user's interface.,0,0,0,0,0,0,0,0
"The Product and Home name(s), room name and type will be processed on the contract basis in order to personalize your interface.",1,0,0,0,0,0,0,0
"The Product Location (GPS) will be processed on the contract basis for product registration, identification of available WIFI networks and obtention of external temperature purposes.",1,0,0,0,0,0,0,0
The Product Privacy Notice is an important part of this Statement.,0,0,0,0,0,0,0,0
The Product Privacy Notice shall prevail in the event of any conflict with this Statement.,0,0,0,0,0,0,0,0
"The products and services are composed of various software applications (including mobile and web applications, Product software, cloud-based Services), and connected Products that gather, store and process data to provide you insights and services to help you lead a healthier life (the ""Products"" and ""Services"").",0,0,0,0,0,0,0,0
The Products and Services may contain third-party identity and information.,0,0,0,0,0,0,0,0
"The profile picture and nickname associated with your account ID will be displayed in your posts, messages, comments, likes, and your other engagements in the Platform.",0,0,0,0,0,0,0,0
"The program implementer(s) may also anonymously aggregate your data with data from other homes in order to create reports, benchmarks and allow you (and others) to compare energy usage, on an anonymous basis, with similar homes.",1,0,0,0,0,0,0,0
"The program implementors may also use your ecobee Account Data, Device Data and electricity use in order to make intelligent decisions relating to electricity production and conservation, and to provide Demand Response and Energy Measurement and Verification reports and services.",0,0,0,0,0,0,0,0
The protection of your privacy and security is crucial in the way we create and supply our Products and Services.,0,0,0,0,0,0,0,0
The providers that administer these analytics services help us analyse your use of the Services and improve our Services.,1,0,0,0,0,0,0,0
The provision of data is necessary in order to be able to access the operator website without errors.,0,0,0,0,0,0,0,0
"The provision of data is necessary, otherwise you will not be able to send a message to the operator.",0,0,0,0,0,0,0,0
The provision of personal data is neither prescribed by law nor contractually for watching YouTube videos.,0,0,0,0,0,0,0,0
The provision of the data is contractually prescribed.,0,0,0,0,0,0,0,0
The provision of the personal data referred to above shall not be a statutory requirement but may be necessary for the conclusion and performance of the Sales Agreement or the agreement for the provision of an Electronic Service on the Website.,0,0,0,0,0,0,0,0
"The provision of your data is voluntary, but necessary for receiving the newsletter.",0,0,0,0,0,0,0,0
The provision of your personal data in the context of the customer support and its care is neither prescribed by law nor contractually.,0,0,0,0,0,0,0,0
The provision of your personal data is contractually prescribed.,0,0,0,0,0,0,0,0
The provision of your personal data is contractually prescribed.,0,0,0,0,0,0,0,0
The provision of your personal data is necessary to access and use the website.,0,0,0,0,0,0,0,0
The provision of your personal data is neither prescribed by law nor contractually.,0,0,0,0,0,0,0,0
The provision of your personal data is neither prescribed by law nor contractually.,0,0,0,0,0,0,0,0
"The public may have access to your UGC, including the ability to share it with third parties.",0,0,0,0,0,0,0,0
"The public, when posted in certain public spaces: Some of our Services allow you to connect and interact with others.",1,0,0,0,0,0,0,0
The publication data may be processed for the purposes of enabling such publication and administering our website and services.,1,0,0,0,0,0,0,0
The publication serves the purpose of transparency and opinion making.,0,0,0,0,0,0,0,0
The purchase information is stored for 10 years unless the local legislation requires longer storage.,0,0,0,0,0,0,0,0
The purpose for such collecting is to improve the services we provide to you.,1,0,0,0,0,0,0,0
The purpose for this information is actually two-fold.,0,0,0,0,0,0,0,0
The purpose for which we may process information about you are as follows: Provide You Services : ,1,0,0,0,0,0,0,0
"The purpose of collecting personal information is to provide you with services, and to ensure that we comply with applicable laws, regulations and other regulatory requirements.",1,0,0,0,0,0,0,0
"The purpose of collecting, storing, using and sharing your information is to offer you better services and improve the quality of our products (e.g. to support the development of new products and function upgrades of existing products in order to provide you high-quality and suitable services).",1,0,0,0,0,0,0,0
The purpose of incorporating these videos is that you can watch videos containing information about the operator products on the website.,0,0,0,0,0,0,0,0
"The purpose of leaving the country, recipient, security measures, security risks, etc. ",0,0,0,0,0,0,0,0
The purpose of processing the location of your device is to provide you the location-based services you wish to use.,1,0,0,0,0,0,0,0
The purpose of the Trueplay analysis is to alter the audio output of Sonos Products in a manner that enhances the sound.,0,0,0,0,0,0,0,0
"The purpose of this Policy is to explain how we collect personal information, personal data, personally identifiable information, and/or non-public personal information about you (collectively, "" personal data ""), why we collect it, and what we do with it.",1,0,0,0,0,0,0,0
"The purpose of this privacy policy (this ""Privacy Policy"") is to describe how Cove collects, manages, uses and shares information about our customers and safeguards our customers' privacy.",1,0,0,0,0,0,0,0
"The purpose of this Privacy Policy is to help you understand what data and information we collect and how we use it, so please take a moment to review it.",1,0,0,0,0,0,0,0
"The purpose of this Privacy Statement is to explain how Option collects, processes, uses, stores and transfers your personal data as well as your rights over any personal data we hold about you in compliance with the General Data Protection Regulation 2016/679 of the European Parliament and of the Council of 27 April 2016 ( GDPR ).",1,0,0,0,0,0,0,0
The Purposes for Collecting Personal Information ,1,0,0,0,0,0,0,0
The purposes for which cookies are used 1.,0,0,0,0,0,0,0,0
The purposes for which the categories of Personal Information collected about you will be used.,1,0,0,0,0,0,0,0
"The purposes for which we Process Personal Data, subject to applicable law, and the legal bases on which we perform such Processing, are as follows:",1,0,0,0,0,0,0,0
"The purposes for which your personal data are collected are specifically explained , on a case-by-case basis, is in the information text submitted on the page where the provision of personal data is requested and the relative and possible consent.",1,0,0,0,0,0,0,0
The purposes of our data collection and what types of data we collect ,1,0,0,0,0,0,0,0
The purposes of processing,1,0,0,0,0,0,0,0
THE PURPOSES OF PROCESSING ,1,0,0,0,0,0,0,0
The Quality and Information Security Management Systems of Domicilium have been approved by Lloyd's Register Quality Assurance (LRQA) to the following Quality and Information Security Management Standards: ISO 9001:2015; ISO/IEC 27001:2013.,0,0,0,0,0,0,0,0
The reason is to perform the tasks assigned to them on our behalf.,0,0,0,0,0,0,0,0
The reasons for this may be specified to you in our response.,0,0,0,0,0,0,0,0
The receiver who attempts to change the original processing purpose or method shall obtain your consent again.,0,0,0,0,0,0,0,0
"The recipient of the data is FESTINA, which will use them solely and exclusively for the purposes for which they were collected.",1,0,0,0,0,0,0,0
The recruitment of employment and consulting vacancies and positions.,1,0,0,0,0,0,0,0
The relevant cookies are: persistent cookies.,0,0,0,0,0,0,0,0
The relevant cookies are: persistent cookies.,0,0,0,0,0,0,0,0
The relevant Dyson group company or companies will collect personal data from you in the country in which you live.,1,0,0,0,0,0,0,0
"The relevant internal departments of NETATMO, established in France:",1,0,0,0,0,0,0,0
The relevant sections in the Statement apply to you to the extent you use certain Products and/or Services and they are made available to you in your region.,0,0,0,0,0,0,0,0
The relevant supervisory authority for the UK is the Information Commissioner's Office (ICO).,0,0,0,0,0,0,0,0
"The relevant third party's terms of service, privacy policy, permissions, notices and choices should be reviewed regarding their collection, storage and sharing practices.",0,0,0,0,0,0,0,0
"The reprint of web content on the Website by any third party within the limits of fair use must be indicated the source of reprint, author, links, and Meizu copyright symbol (if any) may not removed, otherwise Meizu reserves the right to pursue its legal responsibilities.",0,0,0,0,0,0,0,0
The request is accepted.,0,0,0,0,0,0,0,0
The request is free of charge unless your request is unfounded or excessive (e.g. if you have already requested such personal data multiple times in the last twelve months or if the request generates an extremely high workload).,0,0,0,0,0,0,0,0
The request is rejected.,0,0,0,0,0,0,0,0
The requests are equally valid even if the requester does not specify the laws on which the requests are based.,0,0,0,0,0,0,0,0
"The Research and Development (R&D) teams in charge of our intelligent solutions have, in order to achieve their missions, access: to customer account data (email address only) (see section ACCOUNT CREATION), the information collected by the technical cookies necessary for the proper functioning of the Services (see sections Browsing Our Website And Using Our Internet Applications and Cookies And Similar Technologies Used On Our Mobile Applications ), data processed in connection with the use of the Products (see sections WEATHER Mobile Application, ENERGY Mobile Application, AIR CARE Mobile Application, SECURITY Mobile Application except for biometric data that remains locally on the Product)",1,0,0,0,0,0,0,0
"The response we provide will also explain the reasons we cannot comply with a request, if applicable.",0,0,0,0,0,0,0,0
"The response we provide will also explain the reasons we cannot comply with a request, if applicable.",0,0,0,0,0,0,0,0
"The response we provide will also explain the reasons we cannot comply with a request, if applicable.",0,0,0,0,0,0,0,0
The responsible controller of your personal data is AB Electrolux (publ) and/or the local Electrolux entity.,0,0,0,0,0,0,0,0
"The retention period for your personal data is the minimum time necessary to achieve the purposes of collection described in this Privacy Notice, unless a longer retention period is required by law.",1,0,0,0,0,0,0,0
The retention period of such data is 90 days.,1,0,0,0,0,0,0,0
The revised privacy policy will take effect from the date of publication.,0,0,0,0,0,0,0,0
The revocation of your consent will however not affect the lawfulness of any processing based on your consent before its withdrawal.,0,0,0,0,0,0,0,0
"The right holder shall be responsible for the authenticity of his notice, and assume full legal responsibility arising therefrom.",0,0,0,0,0,0,0,0
"The right holders shall not notify Meizu again of deleting the content, or disconnecting the links.",0,0,0,0,0,0,0,0
"the right not to provide your Personal Data to us (however, please note that we will be unable to provide you with the full benefit of our Sites , if you do not provide us with your Personal Data  e.g., we might not be able to process your requests without the necessary details); ",0,0,0,0,0,0,0,0
THE RIGHT OF ACCESS TO THE CONTENT OF YOUR DATA AND OTHER RIGHTS ,0,1,0,0,0,0,0,0
The right of access.,0,1,0,0,0,0,0,0
The right of correction: You have the right to request correction or changes of your Personal Data if it is found to be inaccurate or out of date.,0,0,1,0,0,0,0,0
The right of rectification.,0,0,1,0,0,0,0,0
The right of restriction.,0,0,0,0,1,0,0,0
"The right to access, update or delete the information we have on you.",0,1,1,1,0,0,0,0
The right to access.,0,1,0,0,0,0,0,0
The right to access: ,0,1,0,0,0,0,0,0
The right to access: ,0,1,0,0,0,0,0,0
The right to access: ,0,1,0,0,0,0,0,0
"The right to attorneys' fees and expenses discussed above supplements any right to attorneys' fees and expenses you may have under applicable law, although you may not recover duplicative awards of attorneys' fees or costs.",0,0,0,0,0,0,0,0
The right to be forgotten: ,0,0,0,1,0,0,0,0
The right to be informed.,1,0,0,0,0,0,0,0
The right to be informed: ,1,0,0,0,0,0,0,0
The right to correct your data if it is inaccurate or incomplete.,0,0,1,0,0,0,0,0
"The right to data portability only applies to the data provided by you, not the derived data that you see in Polar Flow service that has undergone manipulation with Polar algorithms.",0,0,0,0,0,1,0,0
The right to data portability.,0,0,0,0,0,1,0,0
The right to data portability.,0,0,0,0,0,1,0,0
The right to data portability:,0,0,0,0,0,1,0,0
The right to data portability:,0,0,0,0,0,1,0,0
The right to data portability: ,0,0,0,0,0,1,0,0
The Right to Delete Personal Data,0,0,0,1,0,0,0,0
"The right to delete your Personal Information, unless we are required to retain it by law, or to establish, exercise or defend legal claims, or for another one of our business purposes.",0,0,0,1,0,0,0,0
The right to erasure.,0,0,0,1,0,0,0,0
The right to erasure:,0,0,0,1,0,0,0,0
The right to erasure:‚ ,0,0,0,1,0,0,0,0
"the right to have certain Relevant Personal Data transferred to another Controller, in a structured, commonly used and machine-readable format, to the extent applicable; ",0,0,0,0,0,1,0,0
The right to know.,1,0,0,0,0,0,0,0
The right to lodge a complaint with a supervisory authority.,0,1,0,0,0,0,0,0
"The right to lodge a complaint with the Supervisory Authority (details of which can be found here: https://edpb.europa.eu/about-edpb/board/members_en for EEA, and https://ico.org.uk/make-a-complaint/ for United Kingdom) if you think that any of your rights have been infringed by us.",0,1,0,0,0,0,0,0
The right to lodge a complaint with the supervisory authority.,0,1,0,0,0,0,0,0
The right to lodge a complaint:,0,1,0,0,0,0,0,0
The right to lodge a complaint: ,0,1,0,0,0,0,0,0
The right to not be discriminated against for exercising any of the rights mentioned above; ,0,0,0,0,0,0,0,0
The right to object (opt-out): ,0,0,0,0,0,0,1,0
"The right to object to such processing on grounds relating to your particular situation, where the legal justification for our processing of your Personal Information is our legitimate interest.",0,0,0,0,0,0,1,0
"The right to object to, and the right to request that we restrict, our processing of your Personal Data in certain circumstances.",0,0,0,0,1,0,1,0
"the right to object, on grounds relating to your particular situation, to the Processing of your Relevant Personal Data by us or on our behalf, where such processing is based on Articles 6(1)(e) (public interest) or 6(1)(f) (legitimate interests) of the GDPR; ",0,0,0,0,0,0,1,0
The right to object.,0,0,0,0,0,0,1,0
THE RIGHT TO OBJECT:,0,0,0,0,0,0,1,0
THE RIGHT TO OBJECT: ,0,0,0,0,0,0,1,0
The right to receive a copy of your Personal Information held on our current records.,0,1,0,0,0,0,0,0
The right to rectification.,0,0,1,0,0,0,0,0
The right to rectification:,0,0,1,0,0,0,0,0
The right to rectification: ,0,0,1,0,0,0,0,0
The right to rectification:‚ ,0,0,1,0,0,0,0,0
"The right to refuse to be subjected to automated decision making, including profiling: ",0,0,0,0,0,0,0,1
The right to request a copy and to transfer Personal Data that we process about you; ,0,1,0,0,0,1,0,0
"the right to request access to, or copies of, your Relevant Personal Data, together with information regarding the nature, Processing and disclosure of those Relevant Personal Data;",0,1,0,0,0,0,0,0
The right to request that we erase your Personal Data in certain circumstances.,0,0,0,1,0,0,0,0
"the right to request, on legitimate grounds: erasure of your Relevant Personal Data; ",0,0,1,1,0,0,0,0
"The right to restrict our processing of your Personal Information where you believe such data to be inaccurate, our processing to be unlawful, or that we no longer need to process such data for a particular purpose (unless we are not able to delete the data due to a legal or other obligation or because you do not wish for us to delete it).",0,0,0,0,1,0,0,0
The right to restrict processing.,0,0,0,0,1,0,0,0
The right to restriction of processing:,0,0,0,0,1,0,0,0
The right to restriction of processing: ,0,0,0,0,1,0,0,0
The right to transfer Personal Information you have provided to us to a third party if we are processing that data on either the basis of your consent or to perform a contract with you.,0,0,0,0,0,1,0,0
The right to withdraw consent.,1,0,0,0,0,0,0,0
The right to withdraw consent:,1,0,0,0,0,0,0,0
The right to withdraw consent:,1,0,0,0,0,0,0,0
The right to withdraw your consent to our processing of your Personal Data at any time; ,1,0,0,0,0,0,0,0
"The right to withdraw your consent to our processing of your Personal Information at any time after you have consented, including optingout of receiving marketing materials.",1,0,0,0,0,0,0,0
The rights listed below under the California Consumer Privacy Act and Shine the Light are not the same.,0,0,0,0,0,0,0,0
The rights of the data subject ,0,0,0,0,0,0,0,0
The rights of Users,0,0,0,0,0,0,0,0
The said operator may also have access to Your online purchase history/details that You make from the Website.,0,0,0,0,0,0,0,0
The saved information is then permanently deleted from the Device's memory.,0,0,0,0,0,0,0,0
"The school is also responsible for requesting permission from the student or, in case of a minor, their guardians before adding a student to the service.",0,0,0,0,0,0,0,0
The school is also responsible for the accuracy of the students' information and data-related requests by individual students (such as requests to delete the information).,0,0,0,0,0,0,0,0
"The Scosche Websites and Scosche Products are not directed to, nor does Scosche knowingly collect Personal Information from children under the age of 13.",1,0,0,0,0,0,0,0
The Security Cameras and accessories GPS location (Smart Door & Window Sensors) will be processed on the contract basis for product registration and identification of available WIFI networks purposes.,1,0,0,0,0,0,0,0
"The Security Cameras and accessories name, Home and room names will be processed on the contract basis in order to personalize your user's interface.",1,0,0,0,0,0,0,0
"The SECURITY Mobile Application allows you to pair the NETATMO's Smart Indoor Camera, Smart Outdoor Camera, Smart Video Doorbell, Smart Door & Window Sensors, Smart Smoke Alarm and Smart Carbon Monoxide Alarm.",0,0,0,0,0,0,0,0
The security of your data is important to us but remember that no method of transmission over the Internet or method of electronic storage is 100% secure.,0,0,0,0,0,0,0,0
The security of your data is very important to us.,0,0,0,0,0,0,0,0
The Security of Your Information,0,0,0,0,0,0,0,0
The Security of Your Information,0,0,0,0,0,0,0,0
The security of your Internet connection and/or wi-fi network is your responsibility and out of our control.,0,0,0,0,0,0,0,0
The security of your Personal Data is extremely important to us.,0,0,0,0,0,0,0,0
The security of your personal data is important to us.,0,0,0,0,0,0,0,0
The security of your personal data is of great importance to us.,0,0,0,0,0,0,0,0
The security of your personal data is very important to us.,0,0,0,0,0,0,0,0
The Sekonda Privacy Policy: FAQ's,0,0,0,0,0,0,0,0
"The sending to DIP S.p.a. of additional Personal Data, other than compulsory data, is optional and does not involve any consequence regarding the purchase of products on the Website.",0,0,0,0,0,0,0,0
"The sensors and high-definition camera in your Weather Station will collect the following weather information about your location: temperature, barometric pressure, humidity, UV and sun exposure, precipitation, and pictures of the sky and the surrounding environment (collectively, the ""Weather Data"" ).",1,0,0,0,0,0,0,0
"The Service also automatically collects, through our servers and the use of cookies (small text files sent to your computer), web beacons (also known as clear or single pixel .gifs) and other technologies, information that tells us how you use the Service, such as:",1,0,0,0,0,0,0,0
"The service and all products and services delivered to you through the service are (except as expressly stated by us) provided ""Ëœas is' and ""Ëœas available' for your use, without any representation, warranties or conditions of any kind, either express or implied, including all implied warranties or conditions of merchantability, merchantable quality, fitness for a particular purpose, durability, title, and non-infringement.",0,0,0,0,0,0,0,0
"The service and all products and services delivered to you through the service are (except as expressly stated by us) provided 'as is' and 'as available' for your use, without any representation, warranties or conditions of any kind, either express or implied, including all implied warranties or conditions of merchantability, merchantable quality, fitness for a particular purpose, durability, title, and non-infringement.",0,0,0,0,0,0,0,0
The Service collects information from you in two ways: directly from your input and automatically through the Service's technologies.,1,0,0,0,0,0,0,0
"The service includes the sending of the IP address and, if applicable, other data needed by Google for the reCAPTCHA service.",0,0,0,0,0,0,0,0
The Service is not available to users under age 18.,0,0,0,0,0,0,0,0
The service log information helps us bug fix and solve problems.,0,0,0,0,0,0,0,0
The Service may allow registered users to access their account information and make corrections or updates upon log in at any time.,0,1,1,0,0,0,0,0
"The Service may contain links to other sites (""Linked Sites""), including social media features such as Facebook, LinkedIn, or Twitter buttons.",0,0,0,0,0,0,0,0
"The Service may let you post and share personal information, comments, materials and other content.",0,0,0,0,0,0,0,0
"The service object shall be responsible for the authenticity of the counter notification, and assume full legal responsibility arising therefrom.",0,0,0,0,0,0,0,0
The service provided by this Website as described in the relative terms (if available) and on this site/application.,0,0,0,0,0,0,0,0
"The service provider ADOBE SYSTEMS SOFTWARE IRELAND LIMITED, established in Ireland, for the purpose of sending you direct marketing communications where applicable.;",1,0,0,0,0,0,0,0
"The service provider CROC, whose data centers are located in Russia, responsible for hosting Russian user emails to be compliant with Russian Regulation;",1,0,0,0,0,0,0,0
"The service provider Mailchimp, established in the United States of America, hosting the data related to NETATMO PRO accounts.",1,0,0,0,0,0,0,0
"The service provider MICROSOFT AZURE, whose data centers are located in the Netherlands, responsible for hosting the NETATMO's cloud architecture hosting all the data related to the Products and associated Services;",1,0,0,0,0,0,0,0
"The service provider ONLINE, established in France, responsible for hosting historical product data;",1,0,0,0,0,0,0,0
"The service provider OVH, established in France, responsible for hosting NETATMO's backups;",1,0,0,0,0,0,0,0
The Service Provider reserves the right to change Privacy and Cookie Policy.,0,0,0,0,0,0,0,0
"The service provider ZENDESK, whose data centers are located in Germany, for Customer Support Service purposes.",1,0,0,0,0,0,0,0
The service providers that administer these analytics services help us to analyse your use of the Services and improve the Services.,0,0,0,0,0,0,0,0
The service providers that administer these analytics services help us to analyze your use of the,0,0,0,0,0,0,0,0
The service providers that administer these services use automated technologies to collect data (such as application crash logs) to evaluate use of our mobile apps.,0,0,0,0,0,0,0,0
"The service providers use automated technologies to collect and analyze information, including personal data (such as email and IP addresses), to understand how you use our websites and mobile apps.",0,0,0,0,0,0,0,0
The services are controlled and operated by us from the United States of America.,1,0,0,0,0,0,0,0
